  CHAMBER:           1
  2.2404855E-03  0.1712292      1.1470701E-02
  2.1035555E-03  0.1706263      1.2209446E-02
  1.9749086E-03  0.1699682      1.2995058E-02
  1.8539837E-03  0.1692525      1.3830215E-02
  1.7404720E-03  0.1684768      1.4717909E-02
  1.6339099E-03  0.1676384      1.5661076E-02
  1.5336799E-03  0.1667345      1.6663348E-02
  1.4398097E-03  0.1657621      1.7727790E-02
  1.3517380E-03  0.1647179      1.8858302E-02
  1.2688470E-03  0.1635989      2.0057892E-02
  1.1909823E-03  0.1624018      2.1330670E-02
  1.1177928E-03  0.1611227      2.2680484E-02
  1.0491383E-03  0.1597582      2.4111055E-02
  9.8480773E-04  0.1583045      2.5626317E-02
  9.2436647E-04  0.1567581      2.7230224E-02
  8.6743507E-04  0.1551152      2.8926777E-02
  8.1392936E-04  0.1533722      3.0719589E-02
  7.6389156E-04  0.1515255      3.2612815E-02
  7.1678800E-04  0.1495717      3.4609754E-02
  6.7257666E-04  0.1475079      3.6713406E-02
  6.3086441E-04  0.1453314      3.8926978E-02
  5.9160916E-04  0.1430398      4.1252654E-02
  5.5507757E-04  0.1406313      4.3692674E-02
  5.2073627E-04  0.1381051      4.6247736E-02
  4.8816390E-04  0.1354609      4.8918419E-02
  4.5772557E-04  0.1326990      5.1704403E-02
  4.2947751E-04  0.1298215      5.4603707E-02
  4.0264745E-04  0.1268311      5.7613812E-02
  3.7774083E-04  0.1237317      6.0730632E-02
  3.5418206E-04  0.1205290      6.3949116E-02
  3.3041969E-04  0.1172305      6.7261092E-02
  3.0934595E-04  0.1138426      7.0660681E-02
  2.8974639E-04  0.1103754      7.4137613E-02
  2.7125599E-04  0.1068401      7.7680930E-02
  2.5406425E-04  0.1032482      8.1278861E-02
  2.3778509E-04  9.9613041E-02  8.4918454E-02
  2.2256594E-04  9.5947988E-02  8.8586047E-02
